id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98138611,MH14LL2853,2983.815,18.454519666666663,73.8476135,3.55,38.409637,51.9837,4.0005,2025-01-01 15:43:12.000,2025-01-01 15:42:58.868,1,11424.46983337325
98138990,MH14LL2853,2983.841,18.454697,73.847665,0.79,38.435795,51.9837,4.0005,2025-01-01 15:44:13.000,2025-01-01 15:43:58.868,1,11406.38632913433
98139412,MH14LL2853,2983.8474,18.454728666666668,73.84767066666667,1.66,38.442394,51.3571,4.0005,2025-01-01 15:45:13.000,2025-01-01 15:44:38.868,1,11403.411850741317
98139743,MH14LL2853,2983.8499,18.454731666666667,73.84766933333333,0.44,38.444626,51.9596,4.0005,2025-01-01 15:46:13.000,2025-01-01 15:45:38.868,1,11403.264608223899
98139768,MH14LX0059,4062.4097,18.48194033333333,73.94190883333333,0.16,0.36704466,51.0438,3.6478,2025-01-01 15:46:13.000,2025-01-01 15:46:10.892,1,5766.8121254959815
98140108,MH14LL2853,2983.8535,18.454753333333333,73.84768783333334,1.32,38.44837,51.8391,4.0016,2025-01-01 15:47:13.000,2025-01-01 15:46:18.868,1,11400.177679991668
98140137,MH14LX0059,4062.4116,18.4819405,73.94191783333333,0.2,0.36886644,52.297,3.6478,2025-01-01 15:47:13.000,2025-01-01 15:46:50.892,1,5767.155153002971
98140473,MH14LL2853,2983.876,18.454603166666665,73.84764816666667,0.43,38.470634,52.056,3.9981,2025-01-01 15:48:13.000,2025-01-01 15:47:58.868,1,11415.205158253633
98140502,MH14LX0059,4062.413,18.481945,73.941912,0.33,0.37038925,51.7427,3.6489,2025-01-01 15:48:13.000,2025-01-01 15:47:50.892,1,5766.460778543395
98140890,MH14LL2853,2983.888,18.45455983333333,73.8476025,0.94,38.482544,52.1283,3.9993,2025-01-01 15:49:14.000,2025-01-01 15:48:58.868,1,11422.002284693546
98140918,MH14LX0059,4062.4146,18.481941,73.9419245,0.09,0.3717841,51.7909,3.6466,2025-01-01 15:49:14.000,2025-01-01 15:48:50.892,1,5767.3707669637715
98141221,MH14LL2853,2983.9487,18.4550575,73.8477665,6.71,38.543404,51.5258,4.0005,2025-01-01 15:50:14.000,2025-01-01 15:49:58.868,1,11369.878444909331
98141246,MH14LX0059,4062.4167,18.481953666666666,73.94192333333334,0.07,0.37391922,52.0078,3.6466,2025-01-01 15:50:14.000,2025-01-01 15:49:50.892,1,5766.026667349188
98141593,MH14LL2853,2984.07,18.455665166666662,73.848713,5.27,38.664593,51.574,4.0016,2025-01-01 15:51:14.000,2025-01-01 15:50:58.868,1,11252.530723715245
98141617,MH14LX0059,4062.4204,18.481961833333333,73.941905,0.14,0.37760198,51.8632,3.6478,2025-01-01 15:51:14.000,2025-01-01 15:50:50.892,1,5764.456370801719
98154804,MH14LL2853,2992.2473,18.5098785,73.870586,3.66,46.84159,51.0438,4.0016,2025-01-01 16:27:18.000,2025-01-01 16:26:58.868,1,5798.618070509978
98141971,MH14LL2853,2984.2244,18.4565805,73.84977583333334,5.07,38.81859,51.7427,4.0016,2025-01-01 15:52:14.000,2025-01-01 15:51:58.869,1,11101.90628633938
98142309,MH14LL2853,2984.4058,18.4580915,73.85025616666667,19.18,39.00006,51.8873,4.0005,2025-01-01 15:53:13.000,2025-01-01 15:52:58.868,1,10944.9903615748
98142335,MH14LX0059,4062.4258,18.481941166666665,73.941915,0.23,0.38293263,52.2729,3.6466,2025-01-01 15:53:13.000,2025-01-01 15:53:10.892,1,5766.97348409649
98142663,MH14LX0065,3790.924,18.53092733333333,73.92868283333334,1.13,1.2634293,51.0679,3.6536,2025-01-01 15:54:14.000,2025-01-01 15:54:04.156,1,792.4511437199222
98142686,MH14LL2853,2984.6436,18.460042166666668,73.85110933333333,18.3,39.237667,51.8632,4.0005,2025-01-01 15:54:14.000,2025-01-01 15:53:58.868,1,10726.226612279206
98142710,MH14LX0059,4062.4277,18.4819465,73.94191666666667,0.26,0.38495612,52.2488,3.6466,2025-01-01 15:54:14.000,2025-01-01 15:53:50.892,1,5766.493872837747
98142762,MH14LL2804,498.30603,18.53139433333333,73.92957633333333,1.09,0.5541335,52.4175,3.9477,2025-01-01 15:54:14.000,2025-01-01 15:53:10.247,1,892.7525612338445
98143031,MH14LX0065,3790.9932,18.53138883333333,73.9286765,0.06,1.332485,51.1161,3.6536,2025-01-01 15:55:14.000,2025-01-01 15:55:04.156,1,798.8969873378732
98143051,MH14LL2853,2984.91,18.461916666666667,73.85263816666667,9.91,39.50413,51.8632,3.9993,2025-01-01 15:55:14.000,2025-01-01 15:54:58.868,1,10464.664170973952
98143078,MH14LX0059,4062.429,18.4819555,73.94191,0.17,0.3863184,51.4535,3.6466,2025-01-01 15:55:14.000,2025-01-01 15:54:50.892,1,5765.305191835516
98143392,MH14LX0065,3790.9973,18.531399333333333,73.92870716666667,0.55,1.336462,50.0075,3.6536,2025-01-01 15:56:14.000,2025-01-01 15:55:24.156,1,802.2858702245646
98143408,MH14LL2853,2985.1562,18.463571,73.85413933333334,12.54,39.7506,51.5258,4.0005,2025-01-01 15:56:14.000,2025-01-01 15:55:58.868,1,10222.759262567919
98143434,MH14LX0059,4062.4307,18.481963,73.94190766666667,0.24,0.38813943,51.574,3.6466,2025-01-01 15:56:14.000,2025-01-01 15:55:50.892,1,5764.443571886193
98143767,MH14LX0065,3791.0027,18.531366666666667,73.92872183333333,0.5,1.3420981,51.0197,3.6525,2025-01-01 15:57:14.000,2025-01-01 15:56:44.156,1,803.2013526778989
98143789,MH14LL2853,2985.3975,18.4654075,73.854961,9.41,39.99179,51.9596,4.0005,2025-01-01 15:57:14.000,2025-01-01 15:56:58.868,1,10016.355653942815
98143802,MH14LL2848,122.92862,18.531383833333333,73.92882983333334,0.68,0.23681849,52.4898,3.8727,2025-01-01 15:57:14.000,2025-01-01 15:56:45.550,1,814.7615428204479
98143812,MH14KU9028,3529.4294,18.474800833333333,73.88829966666667,0.31,0.13317306,52.3452,4.0028,2025-01-01 15:57:14.000,2025-01-01 15:56:32.576,1,7044.801666299009
98143817,MH14LX0059,4062.436,18.481959,73.94191566666667,0.09,0.3933279,51.6222,3.6466,2025-01-01 15:57:14.000,2025-01-01 15:56:50.892,1,5765.173477242886
98144162,MH14LX0065,3791.008,18.531372,73.92867916666667,0.38,1.3472786,51.1161,3.6536,2025-01-01 15:58:14.000,2025-01-01 15:57:44.156,1,798.8588622667751
98144183,MH14LL2853,2985.641,18.466020166666667,73.857132,15.16,40.23521,51.9355,3.9993,2025-01-01 15:58:14.000,2025-01-01 15:57:58.868,1,9808.356751293057
